candidate,rollout,compared_steps,max_abs_error,final_abs_error,mean_abs_error
torch_cpu_float64,0,13,0.0,0.0,0.0
torch_gpu_float64,0,13,0.0,0.0,0.0
torch_gpu_float32,0,13,1.092715173900416e-07,6.361556459388851e-08,2.6742437787322957e-08
torch_cpu_float64,1,12,0.0,0.0,0.0
torch_gpu_float64,1,12,4.440892098500626e-16,4.440892098500626e-16,4.1055122264784437e-17
torch_gpu_float32,1,12,2.496208142410694e-07,1.578309163363656e-07,4.610105438504009e-08
torch_cpu_float64,2,15,1.1102230246251565e-16,0.0,2.139492287038062e-18
torch_gpu_float64,2,15,2.220446049250313e-16,2.220446049250313e-16,9.598803233738332e-18
torch_gpu_float32,2,15,1.713804571590316e-07,1.5530527019969043e-07,3.847125069564768e-08
torch_cpu_float64,3,22,2.220446049250313e-16,2.220446049250313e-16,2.523234146875356e-18
torch_gpu_float64,3,22,3.3306690738754696e-16,3.3306690738754696e-16,7.71606973391161e-17
torch_gpu_float32,3,22,1.446330161192222e-07,1.2923849479484772e-07,3.1206901674632494e-08
torch_cpu_float64,4,19,0.0,0.0,0.0
torch_gpu_float64,4,19,1.1102230246251565e-16,1.1102230246251565e-16,1.6982029817457163e-17
torch_gpu_float32,4,19,1.285183699462067e-07,8.860613731620504e-08,2.6299903760997696e-08
torch_cpu_float64,5,22,0.0,0.0,0.0
torch_gpu_float64,5,22,4.440892098500626e-16,4.440892098500626e-16,2.221382405672005e-17
torch_gpu_float32,5,22,3.3486768935553357e-07,2.5938271330794294e-07,5.3337307177924245e-08
torch_cpu_float64,6,20,0.0,0.0,0.0
torch_gpu_float64,6,20,2.220446049250313e-16,0.0,1.876753960572408e-17
torch_gpu_float32,6,20,1.6969245653086773e-07,1.6969245653086773e-07,2.2043923020808027e-08
torch_cpu_float64,7,25,6.661338147750939e-16,6.661338147750939e-16,5.766220834146907e-17
torch_gpu_float64,7,25,2.220446049250313e-16,2.220446049250313e-16,3.0427049768633195e-17
torch_gpu_float32,7,25,2.429133814096929e-07,2.429133814096929e-07,2.70847487596898e-08
torch_cpu_float64,8,18,0.0,0.0,0.0
torch_gpu_float64,8,18,6.661338147750939e-16,6.661338147750939e-16,7.760478216835133e-17
torch_gpu_float32,8,18,1.1061275961843364e-07,1.1061275961843364e-07,3.0278958599218036e-08
torch_cpu_float64,9,21,0.0,0.0,0.0
torch_gpu_float64,9,21,5.551115123125783e-17,1.3877787807814457e-17,5.617199826972518e-18
torch_gpu_float32,9,21,2.837925875964764e-07,2.0504968523127332e-07,5.036509035332003e-08
torch_cpu_float64,10,14,5.551115123125783e-17,5.551115123125783e-17,4.708535149079905e-18
torch_gpu_float64,10,14,0.0,0.0,0.0
torch_gpu_float32,10,14,9.836178538336071e-08,1.6395216184683647e-08,1.971226164590445e-08
torch_cpu_float64,11,14,0.0,0.0,0.0
torch_gpu_float64,11,14,2.220446049250313e-16,2.220446049250313e-16,7.000848313763542e-17
torch_gpu_float32,11,14,1.6879494635357872e-07,1.6879494635357872e-07,3.362755417787161e-08
torch_cpu_float64,12,14,0.0,0.0,0.0
torch_gpu_float64,12,14,6.661338147750939e-16,4.440892098500626e-16,9.265281994011839e-17
torch_gpu_float32,12,14,1.7412085995260895e-07,1.4445817964059415e-07,4.1973822930817944e-08
torch_cpu_float64,13,10,0.0,0.0,0.0
torch_gpu_float64,13,10,0.0,0.0,0.0
torch_gpu_float32,13,10,2.9898876796607965e-07,2.788236552753176e-07,9.388985746025535e-08
torch_cpu_float64,14,47,1.1102230246251565e-16,0.0,2.53749444624267e-18
torch_gpu_float64,14,47,4.440892098500626e-16,4.440892098500626e-16,6.097829835634431e-17
torch_gpu_float32,14,47,6.727592478661393e-07,6.727592478661393e-07,1.0658993202626665e-07
torch_cpu_float64,15,11,0.0,0.0,0.0
torch_gpu_float64,15,11,5.551115123125783e-17,0.0,4.652212958301437e-18
torch_gpu_float32,15,11,1.5772510808531592e-07,8.412072083352484e-08,3.4450202199860024e-08
torch_cpu_float64,16,15,0.0,0.0,0.0
torch_gpu_float64,16,15,6.661338147750939e-16,6.661338147750939e-16,1.5047280551202153e-16
torch_gpu_float32,16,15,1.0176593379096488e-07,7.598008622267116e-08,2.4800928316451656e-08
torch_cpu_float64,17,20,0.0,0.0,0.0
torch_gpu_float64,17,20,6.661338147750939e-16,6.661338147750939e-16,1.3079815008865126e-16
torch_gpu_float32,17,20,1.505672679869008e-07,9.140467738255609e-08,2.6123846563405606e-08
torch_cpu_float64,18,9,0.0,0.0,0.0
torch_gpu_float64,18,9,2.220446049250313e-16,2.220446049250313e-16,1.5419764230904953e-17
torch_gpu_float32,18,9,1.2522957293370496e-07,5.7933104979923655e-08,2.8176891685575428e-08
torch_cpu_float64,19,15,3.3306690738754696e-16,2.220446049250313e-16,4.209595635037052e-17
torch_gpu_float64,19,15,2.220446049250313e-16,2.220446049250313e-16,5.627732076648092e-17
torch_gpu_float32,19,15,3.2423225704292236e-07,3.2423225704292236e-07,5.140382360830619e-08
torch_cpu_float64,20,12,1.1102230246251565e-16,0.0,5.204170427930421e-18
torch_gpu_float64,20,12,1.1102230246251565e-16,1.1102230246251565e-16,1.0986582014519778e-17
torch_gpu_float32,20,12,2.9690693681416747e-07,2.0217083096518706e-07,4.9103172405021385e-08
torch_cpu_float64,21,16,0.0,0.0,0.0
torch_gpu_float64,21,16,4.440892098500626e-16,4.440892098500626e-16,7.410521848938423e-17
torch_gpu_float32,21,16,2.0884711982027682e-07,2.055446626236801e-07,6.513617823686617e-08
torch_cpu_float64,22,26,0.0,0.0,0.0
torch_gpu_float64,22,26,4.440892098500626e-16,4.440892098500626e-16,5.0786531764234454e-17
torch_gpu_float32,22,26,1.8505777088506647e-07,1.8505777088506647e-07,4.1527287140362214e-08
torch_cpu_float64,23,17,0.0,0.0,0.0
torch_gpu_float64,23,17,2.220446049250313e-16,5.551115123125783e-17,3.500059719176734e-17
torch_gpu_float32,23,17,8.657431727066012e-08,8.038571963631114e-08,2.5390273842289565e-08
torch_cpu_float64,24,14,0.0,0.0,0.0
torch_gpu_float64,24,14,3.3306690738754696e-16,3.3306690738754696e-16,4.460717509654647e-17
torch_gpu_float32,24,14,1.856424870494422e-07,9.842486736744149e-08,4.059415033007423e-08
torch_cpu_float64,25,9,0.0,0.0,0.0
torch_gpu_float64,25,9,4.440892098500626e-16,4.440892098500626e-16,2.4671622769447922e-17
torch_gpu_float32,25,9,1.6093236854253234e-07,1.1433020929985105e-07,2.5720334422062e-08
torch_cpu_float64,26,17,0.0,0.0,0.0
torch_gpu_float64,26,17,2.220446049250313e-16,2.220446049250313e-16,4.714366152360499e-17
torch_gpu_float32,26,17,2.2886787931497565e-07,2.2886787931497565e-07,4.086445511371829e-08
torch_cpu_float64,27,10,0.0,0.0,0.0
torch_gpu_float64,27,10,4.440892098500626e-16,4.440892098500626e-16,9.488937413593135e-17
torch_gpu_float32,27,10,3.7575905498243856e-07,3.7575905498243856e-07,7.407082586504549e-08
torch_cpu_float64,28,38,8.881784197001252e-16,8.881784197001252e-16,1.4006180170345635e-16
torch_gpu_float64,28,38,1.9984014443252818e-15,1.9984014443252818e-15,2.3135162462673583e-16
torch_gpu_float32,28,38,8.404653202287449e-07,8.404653202287449e-07,1.0465711015283455e-07
torch_cpu_float64,29,16,0.0,0.0,0.0
torch_gpu_float64,29,16,4.440892098500626e-16,4.440892098500626e-16,1.1081901455517462e-16
torch_gpu_float32,29,16,1.164595448965855e-07,1.164595448965855e-07,2.2164643300723102e-08
torch_cpu_float64,30,14,0.0,0.0,0.0
torch_gpu_float64,30,14,6.661338147750939e-16,6.661338147750939e-16,1.2325829840913778e-16
torch_gpu_float32,30,14,2.043514359950649e-07,1.7004255536967605e-07,4.789246677875258e-08
torch_cpu_float64,31,34,6.661338147750939e-16,4.440892098500626e-16,7.071549228540749e-17
torch_gpu_float64,31,34,8.881784197001252e-16,8.881784197001252e-16,1.0872634492078165e-16
torch_gpu_float32,31,34,2.1386097825981665e-07,1.8522382783103808e-07,2.7986166237810244e-08
